Landslide,SlopeR,SlopeM,SlopeSTD,SoildepthR,SoildepthM,SoilDepthSTD,AspectM,AspectSTD,PlanCurvR,PlanCurvM,ProfCurvR,ProfCurvM,RelRelfR,RelRelfM,TWIR,TWIM,TWISTD,SoilType,DistRR,DistRM,Rain201321MAX,Rain201321R,SPIR,SPIM,SPISTD,LULC20172021,NDVI20172021
NO,37.77845899,14.19028717,7.040027564,2.040479422,2.343706356,0.547799632,169.4418304,33.19966078,1.124075294,0.000586941,1.290078104,0.000237455,1.062828064,17.07817655,12.15223971,3.3461283,1.370949365,2,29.99712372,10.91628463,626.5806274,29.83361816,20.06375551,-0.184089272,3.163146717,8,7
NO,39.86966677,12.04153075,9.713066267,1.142641306,2.495465453,0.327159836,177.1410833,134.7456325,1.153179049,0.002422283,1.179123372,-0.000932562,0.563202858,11.84694009,13.04632047,3.406419894,1.826082614,3,55.73540211,36.3986735,624.5256348,13.26837158,19.33581591,-1.897297254,4.195241804,10,4
NO,36.06754806,8.604995821,4.381222468,1.308806419,3.021204162,0.280593546,162.7608264,111.6986771,1.483979583,0.002532865,1.610724032,0.000179241,3.884091854,8.363320735,14.15217575,3.812689478,1.511419372,3,50.11191177,16.21515005,620.1776123,22.64935303,19.29360485,-0.822441896,3.232069876,10,7
NO,34.96004743,10.82307096,7.430623102,1.406898022,2.3782574,0.34581534,155.9084804,87.58201246,1.36250037,-0.001368529,1.323710322,0.001407688,2.574712753,12.26533043,15.3308544,3.424112463,1.569889512,3,76.75434875,20.25182297,627.0088501,15.08282471,19.52211475,-1.523345616,3.840676732,10,4
NO,33.58214942,8.984128108,6.445897082,1.077557802,3.40473047,0.270026953,110.7170638,92.29485371,1.404435277,0.000563281,1.388267934,-0.001973151,4.982545853,8.46677062,15.18085676,3.444151605,1.886521439,4,77.23133755,57.21675597,615.1392822,24.63757324,19.23562574,-2.60430175,4.366473714,10,4
NO,28.52623553,6.839040179,5.013967398,1.137634516,3.404130114,0.233940184,165.5619171,74.62534759,1.1090253,-0.002904501,1.13351047,0.002909713,5.271644115,7.810718913,14.3143959,3.541778745,1.863318825,4,67.68248749,36.48977674,615.9329834,25.43041992,19.09604788,-3.065016026,4.542760723,8,4
NO,49.67963229,8.163228707,7.687605997,0.493153095,1.70140484,0.130552681,170.362367,87.1367194,3.205243826,-0.004043188,3.20981884,-0.000231685,1.291715145,8.009104595,16.13561648,4.291760584,1.944835862,3,25.34016609,8.298861423,627.2348633,4.108154297,20.54174852,-1.149933008,4.148398624,10,4
NO,30.41071836,11.17737593,6.250285361,1.159497261,2.875842155,0.320610576,106.8827555,51.31032155,1.223144114,0.000162294,1.120632499,-0.000256596,1.252821922,9.722956491,13.997143,3.334399114,1.808298566,4,75.57684708,63.97032638,618.5443115,20.98797607,20.19058847,-1.697677872,4.271503175,8,7
NO,41.31301438,15.10240122,8.138786758,2.051297188,2.343595433,0.488233537,231.4297475,101.3480657,1.246423364,-0.003581168,1.180542529,0.003219756,1.431659698,16.69744804,14.12078261,3.260736488,1.510120987,2,38.58080673,14.09216681,626.6456299,29.97869873,19.25307465,-0.524339565,3.610884309,8,7
NO,48.62204561,11.81280218,6.711989849,2.808031082,1.783748021,0.612871837,240.3338917,61.27966177,3.37806201,-0.000893731,3.876404762,0.001253881,6.447113037,17.31464219,14.53593844,3.617477397,1.428954681,2,78.53108978,34.91986389,632.6755981,31.87371826,19.72150755,-0.460821748,3.322592852,8,7
NO,31.07852893,9.531141363,4.439471509,1.226750135,2.889417266,0.289854749,214.5160268,55.21510406,1.163439274,0.00075005,1.167111278,-0.000493713,2.915202141,9.975125061,14.93604849,3.502411395,1.794536725,4,78.79367638,69.30026894,618.8317871,22.62243652,20.395648,-1.695688286,4.288033196,9,7
